filename,function_type,style,complexity,base_cost
mandap/decor_001.jpg,Mandap,Traditional,Medium,150000
mandap/decor_002.jpg,Mandap,Traditional,Medium,150000
mandap/download (1).jpg,Mandap,Traditional,Medium,150000
mandap/download (2).jpg,Mandap,Traditional,Medium,150000
mandap/download (3).jpg,Mandap,Traditional,Medium,150000
mandap/download (4).jpg,Mandap,Traditional,Medium,150000
mandap/download (5).jpg,Mandap,Traditional,Medium,150000
mandap/download (6).jpg,Mandap,Traditional,Medium,150000
mandap/download.jpg,Mandap,Traditional,Medium,150000
mandap/images (1).jpg,Mandap,Traditional,Medium,150000
mandap/images (2).jpg,Mandap,Traditional,Medium,150000
mandap/images (3).jpg,Mandap,Traditional,Medium,150000
mandap/images.jpg,Mandap,Traditional,Medium,150000
stage/download (1).jpg,Stage,Traditional,Medium,100000
stage/download (2).jpg,Stage,Traditional,Medium,100000
stage/download (3).jpg,Stage,Traditional,Medium,100000
stage/download (4).jpg,Stage,Traditional,Medium,100000
stage/download (5).jpg,Stage,Traditional,Medium,100000
stage/download (6).jpg,Stage,Traditional,Medium,100000
stage/download.jpg,Stage,Traditional,Medium,100000
stage/images (1).jpg,Stage,Traditional,Medium,100000
stage/images (2).jpg,Stage,Traditional,Medium,100000
stage/images.jpg,Stage,Traditional,Medium,100000
entrance/1d301970ce931517c8b8473b1b728a27.jpg,Entrance,Traditional,Medium,45000
entrance/download (1).jpg,Entrance,Traditional,Medium,45000
entrance/download (2).jpg,Entrance,Traditional,Medium,45000
entrance/download (3).jpg,Entrance,Traditional,Medium,45000
entrance/download (4).jpg,Entrance,Traditional,Medium,45000
entrance/download (5).jpg,Entrance,Traditional,Medium,45000
entrance/download (6).jpg,Entrance,Traditional,Medium,45000
entrance/download (7).jpg,Entrance,Traditional,Medium,45000
entrance/download (8).jpg,Entrance,Traditional,Medium,45000
entrance/download.jpg,Entrance,Traditional,Medium,45000
entrance/images.jpg,Entrance,Traditional,Medium,45000
floral/download (1).jpg,Floral,Traditional,Medium,55000
floral/download (2).jpg,Floral,Traditional,Medium,55000
floral/download (3).jpg,Floral,Traditional,Medium,55000
floral/download (4).jpg,Floral,Traditional,Medium,55000
floral/download (5).jpg,Floral,Traditional,Medium,55000
floral/download (6).jpg,Floral,Traditional,Medium,55000
floral/download (7).jpg,Floral,Traditional,Medium,55000
floral/download (9).jpg,Floral,Traditional,Medium,55000
floral/download.jpg,Floral,Traditional,Medium,55000
floral/images.jpg,Floral,Traditional,Medium,55000
reception/download (8).jpg,Reception,Traditional,Medium,120000
reception/images (1).jpg,Reception,Traditional,Medium,120000
reception/images (2).jpg,Reception,Traditional,Medium,120000
reception/images (3).jpg,Reception,Traditional,Medium,120000
reception/images (4).jpg,Reception,Traditional,Medium,120000
reception/images (5).jpg,Reception,Traditional,Medium,120000
reception/images (6).jpg,Reception,Traditional,Medium,120000
reception/images (7).jpg,Reception,Traditional,Medium,120000
reception/images (8).jpg,Reception,Traditional,Medium,120000
reception/images.jpg,Reception,Traditional,Medium,120000
table/download (1).jpg,Table,Traditional,Medium,35000
table/download (2).jpg,Table,Traditional,Medium,35000
table/download (3).jpg,Table,Traditional,Medium,35000
table/download (4).jpg,Table,Traditional,Medium,35000
table/download (5).jpg,Table,Traditional,Medium,35000
table/download (6).jpg,Table,Traditional,Medium,35000
table/download.jpg,Table,Traditional,Medium,35000
table/images (1).jpg,Table,Traditional,Medium,35000
table/images (2).jpg,Table,Traditional,Medium,35000
table/images (3).jpg,Table,Traditional,Medium,35000
table/images.jpg,Table,Traditional,Medium,35000
mandap\000001.jpg,mandap,Medium,0
mandap\000002.jpg,mandap,Medium,0
mandap\000003.jpg,mandap,Medium,0
mandap\000004.jpg,mandap,Medium,0
mandap\000005.jpg,mandap,Medium,0
mandap\000006.jpg,mandap,Medium,0
mandap\000007.jpg,mandap,Medium,0
mandap\000008.jpg,mandap,Medium,0
mandap\000009.jpg,mandap,Medium,0
mandap\000010.jpg,mandap,Medium,0
mandap\000011.jpg,mandap,Medium,0
mandap\000012.jpg,mandap,Medium,0
mandap\000013.jpg,mandap,Medium,0
mandap\000014.jpg,mandap,Medium,0
mandap\000015.jpg,mandap,Medium,0
mandap\000016.jpg,mandap,Medium,0
mandap\000017.jpg,mandap,Medium,0
mandap\000018.jpg,mandap,Medium,0
mandap\000019.jpg,mandap,Medium,0
mandap\000020.jpg,mandap,Medium,0
mandap\000021.jpg,mandap,Medium,0
mandap\000022.jpg,mandap,Medium,0
mandap\000023.jpg,mandap,Medium,0
mandap\000024.jpg,mandap,Medium,0
mandap\000025.jpg,mandap,Medium,0
mandap\000026.jpg,mandap,Medium,0
mandap\000027.jpg,mandap,Medium,0
mandap\000028.jpg,mandap,Medium,0
mandap\000029.jpg,mandap,Medium,0
mandap\000030.jpg,mandap,Medium,0
mandap\000031.jpg,mandap,Medium,0
mandap\000032.jpg,mandap,Medium,0
mandap\000033.jpg,mandap,Medium,0
mandap\000034.jpg,mandap,Medium,0
mandap\000035.jpg,mandap,Medium,0
mandap\000036.jpg,mandap,Medium,0
mandap\000037.jpg,mandap,Medium,0
mandap\000038.jpg,mandap,Medium,0
mandap\000039.jpg,mandap,Medium,0
mandap\000040.jpg,mandap,Medium,0
mandap\decor_001.jpg,mandap,Medium,0
mandap\decor_002.jpg,mandap,Medium,0
mandap\download (1).jpg,mandap,Medium,0
mandap\download (2).jpg,mandap,Medium,0
mandap\download (3).jpg,mandap,Medium,0
mandap\download (4).jpg,mandap,Medium,0
mandap\download (5).jpg,mandap,Medium,0
mandap\download (6).jpg,mandap,Medium,0
mandap\download.jpg,mandap,Medium,0
mandap\images (1).jpg,mandap,Medium,0
mandap\images (2).jpg,mandap,Medium,0
mandap\images (3).jpg,mandap,Medium,0
mandap\images.jpg,mandap,Medium,0
stage\000001.jpg,stage,Medium,0
stage\000002.jpg,stage,Medium,0
stage\000003.jpg,stage,Medium,0
stage\000004.jpg,stage,Medium,0
stage\000005.jpg,stage,Medium,0
stage\000006.jpg,stage,Medium,0
stage\000007.jpg,stage,Medium,0
stage\000008.jpg,stage,Medium,0
stage\000009.jpg,stage,Medium,0
stage\000010.jpg,stage,Medium,0
stage\000011.jpg,stage,Medium,0
stage\000012.jpg,stage,Medium,0
stage\000013.jpg,stage,Medium,0
stage\000014.jpg,stage,Medium,0
stage\000015.jpg,stage,Medium,0
stage\000016.jpg,stage,Medium,0
stage\000017.jpg,stage,Medium,0
stage\000018.jpg,stage,Medium,0
stage\000019.jpg,stage,Medium,0
stage\000020.jpg,stage,Medium,0
stage\000021.jpg,stage,Medium,0
stage\000022.jpg,stage,Medium,0
stage\000023.jpg,stage,Medium,0
stage\000024.jpg,stage,Medium,0
stage\000025.jpg,stage,Medium,0
stage\000026.jpg,stage,Medium,0
stage\000027.jpg,stage,Medium,0
stage\000028.jpg,stage,Medium,0
stage\000029.jpg,stage,Medium,0
stage\000030.jpg,stage,Medium,0
stage\000031.jpg,stage,Medium,0
stage\000032.jpg,stage,Medium,0
stage\000033.jpg,stage,Medium,0
stage\000034.jpg,stage,Medium,0
stage\000035.jpg,stage,Medium,0
